City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Sao Filipe,CV,77.94,few clouds,14.8961,-24.4956,Hotel Xaguate
263,Sao Joao Da Barra,BR,66.16,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
264,Shache,CN,85.82,overcast clouds,38.4167,77.2406,Delong Hotel
265,Zhangjiakou,CN,82.6,light rain,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
266,Ancud,CL,42.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
267,Nantucket,US,74.97,few clouds,41.2835,-70.0995,Jared Coffin House
268,Olsztyn,PL,60.76,moderate rain,53.7799,20.4942,Hostel Wysoka Brama Noclegi Pokoje Najlepszy Hostel Apartamenty Komfortowy Hostel Hotel
269,Porto De Moz,BR,72.0,few clouds,-1.7483,-52.2383,Dormitório labelle
270,Minot,US,71.82,clear sky,48.2325,-101.2963,Noble Inn
273,Orlik,RU,68.13,scattered clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
274,Wanning,CN,89.67,overcast clouds,18.8003,110.3967,Paradise Hotel
275,Umtata,ZA,54.16,clear sky,-31.5889,28.7844,LLZZ Boutique Lodge
276,Paratinga,BR,66.2,overcast clouds,-12.6906,-43.1842,Pousada Magalhães 2
277,Covington,US,73.35,scattered clouds,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
279,Villa De Reyes,MX,61.07,overcast clouds,21.8,-100.9333,HOTEL MARIA NATALIA
280,Cabo San Lucas,MX,86.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
281,Klaksvik,FO,58.12,overcast clouds,62.2266,-6.589,Airbnb rooms
282,Vao,NC,67.64,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
283,Emden,DE,61.97,broken clouds,53.3667,7.2167,Upstalsboom Parkhotel
284,Denpasar,ID,83.86,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
285,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
287,Taltal,CL,51.13,scattered clouds,-25.4,-70.4833,Residencial Karime
288,Cerkezkoy,TR,79.21,clear sky,41.285,28.0003,City Hotel
