City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.33,60,0,2.3,clear sky
148,Jalu,LY,29.0331,21.5482,83.62,34,0,8.99,clear sky
149,Broome,US,42.2506,-75.833,69.04,93,1,0.0,clear sky
150,Ostrovnoy,RU,68.0531,39.5131,61.88,66,1,7.0,clear sky
151,Ilulissat,GL,69.2167,-51.1,39.22,81,95,0.0,overcast clouds
152,Bredasdorp,ZA,-34.5322,20.0403,45.72,93,100,4.61,overcast clouds
153,Pangnirtung,CA,66.1451,-65.7125,42.8,87,90,4.61,light rain
154,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,75,5.75,light intensity shower rain
155,Sawang Daen Din,TH,17.4753,103.4575,92.73,54,100,10.54,overcast clouds
156,Neya,RU,58.2972,43.8681,71.49,61,100,8.63,moderate rain
157,College,US,64.8569,-147.8028,60.78,85,75,4.61,light rain
158,Georgetown,MY,5.4112,100.3354,93.13,69,20,1.01,few clouds
159,Saint George,US,37.1041,-113.5841,82.54,17,1,0.0,haze
160,Barrow,US,71.2906,-156.7887,37.42,92,90,9.22,overcast clouds
161,Dikson,RU,73.5069,80.5464,45.81,82,0,5.84,clear sky
162,Jibuti,DJ,11.5,42.5,94.42,46,9,8.28,clear sky
163,Novyy Urengoy,RU,66.0833,76.6333,77.86,43,7,9.71,clear sky
164,Ulaanbaatar,MN,47.9077,106.8832,64.53,55,40,17.9,scattered clouds
165,Chapais,CA,49.7834,-74.8492,46.18,78,2,3.56,clear sky
166,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,79,28,4.81,scattered clouds
167,Egvekinot,RU,66.3167,-179.1667,39.38,71,5,16.69,clear sky
168,Naze,JP,28.3667,129.4833,81.52,89,100,36.26,overcast clouds
169,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,9.22,broken clouds
170,Laguna,US,38.421,-121.4238,82.24,58,1,3.44,clear sky
171,Arraial Do Cabo,BR,-22.9661,-42.0278,67.03,82,82,21.12,broken clouds
172,New Norfolk,AU,-42.7826,147.0587,54.9,72,72,1.66,broken clouds
173,Wilmington,US,34.2257,-77.9447,78.85,93,1,4.61,clear sky
174,Bekhtery,UA,46.251,32.2927,70.23,50,0,15.05,clear sky
175,Zhoucheng,CN,35.9122,116.3117,91.47,49,19,1.16,light rain
176,Krasnyy Yar,RU,46.5331,48.3456,93.13,13,88,17.22,overcast clouds
